Organization,Month_Year,Count,Unique,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),Old Issues (Open for >120 days),Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor),Views count,Views unique,Clones count,Clones unique
usdot-fhwa-stol,2023-02,7382.0,2380.0,952.0,860.0,506.0,2320.0,1948.0,372.0,514.0,470.0,388.0,647.0,7578.0,6044.0,1602.0,534.0,179.0,511.0,308.0,205.0,64.0,64.0,0.0,4.0,256.0,250.0,6.0,0.0,150.0,52.0,78.0,74.0,4.0,0.0,14420.0,2097.0,9995.0,1918.0
usdot-fhwa-stol,2023-03,5487.0,1666.0,970.0,856.0,510.0,2370.0,2000.0,370.0,522.0,508.0,406.0,596.0,7652.0,6118.0,1604.0,542.0,172.0,514.0,312.0,203.0,50.0,50.0,0.0,42.0,76.0,72.0,4.0,0.0,44.0,24.0,34.0,32.0,2.0,0.0,11389.0,1586.0,4131.0,1797.0
usdot-fhwa-stol,2023-04,4699.0,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9412.0,1548.0,4336.0,1925.0
usdot-fhwa-stol,2023-05,5714.0,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12661.0,1525.0,4800.0,1846.0
usdot-fhwa-stol,2023-06,6199.0,1693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14428.0,1497.0,4089.0,1667.0
usdot-fhwa-stol,2023-07,4738.0,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8873.0,1180.0,2547.0,1096.0
usdot-fhwa-stol,2023-08,6888.0,1655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18102.0,1601.0,3189.0,1289.0
usdot-fhwa-stol,2023-09,0.0,0.0,1072.0,1056.0,540.0,2584.0,1570.0,1014.0,632.0,598.0,540.0,881.0,8192.0,4260.0,3942.0,546.0,165.0,542.0,263.0,279.0,52.0,52.0,0.0,30.0,70.0,68.0,2.0,0.0,34.0,28.0,29.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
usdot-fhwa-stol,2023-10,2803.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6916.0,765.0,2594.0,1051.0
usdot-fhwa-stol,2023-11,7119.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17654.0,1709.0,4433.0,1570.0
usdot-fhwa-stol,2023-12,6011.0,1420.0,1084.0,1054.0,550.0,2722.0,1708.0,1014.0,680.0,658.0,570.0,841.0,8542.0,4536.0,3944.0,610.0,158.0,550.0,271.0,279.0,52.0,52.0,0.0,56.0,102.0,102.0,0.0,0.0,50.0,46.0,21.0,21.0,0.0,0.0,16544.0,1450.0,6003.0,1811.0
